map,task,roi
map_0.png,task_0.png,task_0_roi.png
map_0.png,task_1.png,task_1_roi.png
map_0.png,task_2.png,task_2_roi.png
map_0.png,task_3.png,task_3_roi.png
map_0.png,task_4.png,task_4_roi.png
map_0.png,task_5.png,task_5_roi.png
map_0.png,task_6.png,task_6_roi.png
map_0.png,task_7.png,task_7_roi.png
map_0.png,task_8.png,task_8_roi.png
map_0.png,task_9.png,task_9_roi.png
map_0.png,task_10.png,task_10_roi.png
map_0.png,task_11.png,task_11_roi.png
map_0.png,task_12.png,task_12_roi.png
map_0.png,task_13.png,task_13_roi.png
map_0.png,task_14.png,task_14_roi.png
map_0.png,task_15.png,task_15_roi.png
map_0.png,task_16.png,task_16_roi.png
map_0.png,task_17.png,task_17_roi.png
map_0.png,task_18.png,task_18_roi.png
map_0.png,task_19.png,task_19_roi.png
map_0.png,task_20.png,task_20_roi.png
map_0.png,task_21.png,task_21_roi.png
map_0.png,task_22.png,task_22_roi.png
map_0.png,task_23.png,task_23_roi.png
map_0.png,task_24.png,task_24_roi.png
map_0.png,task_25.png,task_25_roi.png
map_0.png,task_26.png,task_26_roi.png
map_0.png,task_27.png,task_27_roi.png
map_0.png,task_28.png,task_28_roi.png
map_0.png,task_29.png,task_29_roi.png
map_0.png,task_30.png,task_30_roi.png
map_0.png,task_31.png,task_31_roi.png
map_0.png,task_32.png,task_32_roi.png
map_0.png,task_33.png,task_33_roi.png
map_0.png,task_34.png,task_34_roi.png
map_0.png,task_35.png,task_35_roi.png
map_0.png,task_36.png,task_36_roi.png
map_0.png,task_37.png,task_37_roi.png
map_0.png,task_38.png,task_38_roi.png
map_0.png,task_39.png,task_39_roi.png
map_0.png,task_40.png,task_40_roi.png
map_0.png,task_41.png,task_41_roi.png
map_0.png,task_42.png,task_42_roi.png
map_0.png,task_43.png,task_43_roi.png
map_0.png,task_44.png,task_44_roi.png
map_0.png,task_45.png,task_45_roi.png
map_0.png,task_46.png,task_46_roi.png
