istart,jstart,igoal,jgoal,euclid
62,4,31,29,39.824615503479755
1,17,50,30,50.695167422546305
43,60,5,18,56.639209034025185
6,32,56,45,51.66236541235796
63,52,28,24,44.82186966202994
26,34,59,30,33.24154027718932
11,54,40,5,56.938563381947034
4,54,54,55,50.00999900019995
60,30,34,6,35.38361202590826
54,55,60,4,51.35172830587107
1,30,34,55,41.400483088968905
46,17,13,52,48.104053883222775
6,15,53,18,47.095647357266465
52,18,11,16,41.048751503547585
7,19,1,55,36.49657518178932
61,5,6,41,65.73431371817918
59,63,58,19,44.01136216933077
6,1,11,45,44.28317965096906
38,4,44,56,52.3450093132096
3,41,44,56,43.657759905886145
18,33,52,46,36.40054944640259
5,10,51,47,59.033888572581766
54,1,16,30,47.80167361086848
58,4,61,55,51.088159097779204
14,48,26,7,42.720018726587654
3,34,61,21,59.43904440685432
0,32,60,13,62.93647591023825
47,47,45,16,31.064449134018133
55,19,8,59,61.71709649683789
30,19,57,35,31.38470965295043
59,11,2,20,57.706152185014034
60,41,46,11,33.1058907144937
26,53,54,3,57.30619512757761
47,21,52,52,31.400636936215164
7,27,30,0,35.4682957019364
7,58,53,58,46.0
46,47,9,26,42.5440947723653
46,43,22,15,36.87817782917155
7,49,47,56,40.607881008493905
5,61,34,2,65.7419196555744
52,23,55,58,35.12833614050059
62,17,7,7,55.90169943749474
24,30,31,62,32.7566787083184
23,5,33,55,50.99019513592785
17,63,56,12,64.20280367709809
61,24,16,28,45.17742799230607
21,19,17,55,36.22154055254967
50,9,13,30,42.5440947723653
29,31,58,52,35.805027579936315
3,41,28,20,32.64965543462902
3,46,30,22,36.124783736376884
53,13,21,63,59.36328831862332
3,11,52,7,49.16299421312742
46,45,48,14,31.064449134018133
16,57,6,14,44.14748010928823
57,50,25,1,58.52349955359813
28,2,6,39,43.04648650006177
28,50,7,20,36.61966684720111
46,3,18,54,58.180752831155424
55,56,53,8,48.041648597857254
27,42,57,40,30.066592756745816
38,59,59,36,31.144823004794873
62,6,59,38,32.14031735997639
50,27,52,59,32.0624390837628
30,35,9,57,30.4138126514911
26,24,35,59,36.138621999185304
7,62,31,13,54.56189146281496
57,13,38,52,43.382023926967726
61,35,2,39,59.135437767890075
25,8,12,62,55.54277630799526
62,22,34,48,38.2099463490856
47,16,10,6,38.3275357934736
11,48,57,9,60.30754513325841
62,8,46,53,47.75981574503821
44,42,63,3,43.382023926967726
51,61,48,17,44.10215414239989
13,31,3,61,31.622776601683793
27,44,19,8,36.87817782917155
9,17,44,50,48.104053883222775
9,17,33,60,49.24428900898052
9,3,27,60,59.77457653551382
28,11,46,50,42.95346318982906
31,5,58,43,46.61544808322666
42,45,12,35,31.622776601683793
52,21,28,2,30.610455730027933
55,56,54,26,30.01666203960727
34,8,8,58,56.356011214421486
48,45,13,12,48.104053883222775
52,15,18,39,41.617304093369626
62,19,4,55,68.26419266350405
0,0,54,61,81.46778504415104
51,62,57,30,32.55764119219941
22,31,60,1,48.41487374764082
50,10,12,34,44.94441010848846
17,45,62,52,45.5411901469428
62,7,54,42,35.90264614203248
4,26,26,63,43.04648650006177
30,61,42,9,53.36665625650534
13,21,52,45,45.79301256742124
47,29,1,38,46.87216658103186
